condition_type,generator_key,target_key,lpr_condition_key,label,label_name,raw_n,raw_success,raw_asr,lpr_n_total,lpr_n_preserved,lpr_all,lpr_all_ci_lower,lpr_all_ci_upper,lpr_n_resolved,lpr_n_preserved_resolved,lpr_resolved,lpr_resolved_ci_lower,lpr_resolved_ci_upper,adjusted_success_all,adjusted_success_resolved
bt,backtranslation,hyperclova_x,hyperclova_x,1,Neutral,397,75,0.1889168765743073,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,14,13,0.9285714285714286,0.6853129557584889,0.9872777847521093,65.0,69.64285714285714
bt,backtranslation,hyperclova_x,hyperclova_x,2,Contradiction,648,28,0.043209876543209874,15,15,1.0,0.7961166989641515,1.0,15,15,1.0,0.7961166989641515,1.0,28.0,28.0
llm,claude_sonnet,claude_sonnet,claude_sonnet,0,Entailment,740,16,0.021621621621621623,50,48,0.96,0.8653990931249297,0.9889611156723802,50,48,0.96,0.8653990931249297,0.9889611156723802,15.36,15.36
llm,claude_sonnet,claude_sonnet,claude_sonnet,1,Neutral,642,62,0.09657320872274143,50,45,0.9,0.7863976856252035,0.9565242350681096,49,45,0.9183673469387755,0.808108724034287,0.9677971823322362,55.800000000000004,56.93877551020408
llm,claude_sonnet,claude_sonnet,claude_sonnet,2,Contradiction,687,16,0.023289665211062592,50,49,0.98,0.8950455641036219,0.9964607407283539,49,49,1.0,0.9273021807795035,0.9999999999999999,15.68,16.0
llm,claude_sonnet,gemini,claude_sonnet,0,Entailment,738,15,0.02032520325203252,50,48,0.96,0.8653990931249297,0.9889611156723802,50,48,0.96,0.8653990931249297,0.9889611156723802,14.399999999999999,14.399999999999999
llm,claude_sonnet,gemini,claude_sonnet,1,Neutral,673,25,0.03714710252600297,50,45,0.9,0.7863976856252035,0.9565242350681096,49,45,0.9183673469387755,0.808108724034287,0.9677971823322362,22.5,22.95918367346939
llm,claude_sonnet,gemini,claude_sonnet,2,Contradiction,691,11,0.015918958031837915,50,49,0.98,0.8950455641036219,0.9964607407283539,49,49,1.0,0.9273021807795035,0.9999999999999999,10.78,11.0
llm,claude_sonnet,gpt,claude_sonnet,0,Entailment,713,21,0.029453015427769985,50,48,0.96,0.8653990931249297,0.9889611156723802,50,48,0.96,0.8653990931249297,0.9889611156723802,20.16,20.16
llm,claude_sonnet,gpt,claude_sonnet,1,Neutral,664,52,0.0783132530120482,50,45,0.9,0.7863976856252035,0.9565242350681096,49,45,0.9183673469387755,0.808108724034287,0.9677971823322362,46.800000000000004,47.755102040816325
llm,claude_sonnet,gpt,claude_sonnet,2,Contradiction,646,28,0.043343653250773995,50,49,0.98,0.8950455641036219,0.9964607407283539,49,49,1.0,0.9273021807795035,0.9999999999999999,27.439999999999998,28.0
llm,claude_sonnet,hyperclova_x,claude_sonnet,0,Entailment,704,36,0.05113636363636364,50,48,0.96,0.8653990931249297,0.9889611156723802,50,48,0.96,0.8653990931249297,0.9889611156723802,34.56,34.56
llm,claude_sonnet,hyperclova_x,claude_sonnet,1,Neutral,408,65,0.15931372549019607,50,45,0.9,0.7863976856252035,0.9565242350681096,49,45,0.9183673469387755,0.808108724034287,0.9677971823322362,58.5,59.69387755102041
llm,claude_sonnet,hyperclova_x,claude_sonnet,2,Contradiction,668,37,0.05538922155688623,50,49,0.98,0.8950455641036219,0.9964607407283539,49,49,1.0,0.9273021807795035,0.9999999999999999,36.26,37.0
llm,gemini,claude_sonnet,gemini,0,Entailment,740,24,0.032432432432432434,50,43,0.86,0.7381380628941446,0.9304916657298371,48,43,0.8958333333333334,0.7783257830561368,0.9546782809581869,20.64,21.5
llm,gemini,claude_sonnet,gemini,1,Neutral,642,55,0.08566978193146417,50,43,0.86,0.7381380628941446,0.9304916657298371,47,43,0.9148936170212766,0.8006846221303541,0.9664058765420744,47.3,50.319148936170215
llm,gemini,claude_sonnet,gemini,2,Contradiction,687,20,0.02911208151382824,50,43,0.86,0.7381380628941446,0.9304916657298371,48,43,0.8958333333333334,0.7783257830561368,0.9546782809581869,17.2,17.916666666666668
llm,gemini,gemini,gemini,0,Entailment,738,15,0.02032520325203252,50,43,0.86,0.7381380628941446,0.9304916657298371,48,43,0.8958333333333334,0.7783257830561368,0.9546782809581869,12.9,13.4375
llm,gemini,gemini,gemini,1,Neutral,673,31,0.04606240713224369,50,43,0.86,0.7381380628941446,0.9304916657298371,47,43,0.9148936170212766,0.8006846221303541,0.9664058765420744,26.66,28.361702127659573
llm,gemini,gemini,gemini,2,Contradiction,691,14,0.020260492040520984,50,43,0.86,0.7381380628941446,0.9304916657298371,48,43,0.8958333333333334,0.7783257830561368,0.9546782809581869,12.04,12.541666666666668
llm,gemini,gpt,gemini,0,Entailment,713,33,0.04628330995792426,50,43,0.86,0.7381380628941446,0.9304916657298371,48,43,0.8958333333333334,0.7783257830561368,0.9546782809581869,28.38,29.5625
llm,gemini,gpt,gemini,1,Neutral,664,44,0.06626506024096386,50,43,0.86,0.7381380628941446,0.9304916657298371,47,43,0.9148936170212766,0.8006846221303541,0.9664058765420744,37.839999999999996,40.25531914893617
llm,gemini,gpt,gemini,2,Contradiction,646,40,0.06191950464396285,50,43,0.86,0.7381380628941446,0.9304916657298371,48,43,0.8958333333333334,0.7783257830561368,0.9546782809581869,34.4,35.833333333333336
llm,gemini,hyperclova_x,gemini,0,Entailment,704,66,0.09375,50,43,0.86,0.7381380628941446,0.9304916657298371,48,43,0.8958333333333334,0.7783257830561368,0.9546782809581869,56.76,59.125
llm,gemini,hyperclova_x,gemini,1,Neutral,408,83,0.2034313725490196,50,43,0.86,0.7381380628941446,0.9304916657298371,47,43,0.9148936170212766,0.8006846221303541,0.9664058765420744,71.38,75.93617021276596
llm,gemini,hyperclova_x,gemini,2,Contradiction,668,41,0.061377245508982034,50,43,0.86,0.7381380628941446,0.9304916657298371,48,43,0.8958333333333334,0.7783257830561368,0.9546782809581869,35.26,36.72916666666667
llm,gpt,claude_sonnet,gpt,0,Entailment,740,21,0.02837837837837838,50,47,0.94,0.8378290831116182,0.979385029651026,48,47,0.9791666666666666,0.8910078200474814,0.9963128890224893,19.74,20.5625
llm,gpt,claude_sonnet,gpt,1,Neutral,642,39,0.06074766355140187,50,48,0.96,0.8653990931249297,0.9889611156723802,50,48,0.96,0.8653990931249297,0.9889611156723802,37.44,37.44
llm,gpt,claude_sonnet,gpt,2,Contradiction,687,12,0.017467248908296942,50,49,0.98,0.8950455641036219,0.9964607407283539,49,49,1.0,0.9273021807795035,0.9999999999999999,11.76,12.0
llm,gpt,gemini,gpt,0,Entailment,738,11,0.014905149051490514,50,47,0.94,0.8378290831116182,0.979385029651026,48,47,0.9791666666666666,0.8910078200474814,0.9963128890224893,10.34,10.770833333333332
llm,gpt,gemini,gpt,1,Neutral,673,17,0.02526002971768202,50,48,0.96,0.8653990931249297,0.9889611156723802,50,48,0.96,0.8653990931249297,0.9889611156723802,16.32,16.32
llm,gpt,gemini,gpt,2,Contradiction,691,10,0.01447178002894356,50,49,0.98,0.8950455641036219,0.9964607407283539,49,49,1.0,0.9273021807795035,0.9999999999999999,9.8,10.0
llm,gpt,gpt,gpt,0,Entailment,713,19,0.02664796633941094,50,47,0.94,0.8378290831116182,0.979385029651026,48,47,0.9791666666666666,0.8910078200474814,0.9963128890224893,17.86,18.604166666666664
llm,gpt,gpt,gpt,1,Neutral,664,42,0.06325301204819277,50,48,0.96,0.8653990931249297,0.9889611156723802,50,48,0.96,0.8653990931249297,0.9889611156723802,40.32,40.32
llm,gpt,gpt,gpt,2,Contradiction,646,22,0.034055727554179564,50,49,0.98,0.8950455641036219,0.9964607407283539,49,49,1.0,0.9273021807795035,0.9999999999999999,21.56,22.0
llm,gpt,hyperclova_x,gpt,0,Entailment,704,36,0.05113636363636364,50,47,0.94,0.8378290831116182,0.979385029651026,48,47,0.9791666666666666,0.8910078200474814,0.9963128890224893,33.839999999999996,35.25
llm,gpt,hyperclova_x,gpt,1,Neutral,408,64,0.1568627450980392,50,48,0.96,0.8653990931249297,0.9889611156723802,50,48,0.96,0.8653990931249297,0.9889611156723802,61.44,61.44
llm,gpt,hyperclova_x,gpt,2,Contradiction,668,18,0.02694610778443114,50,49,0.98,0.8950455641036219,0.9964607407283539,49,49,1.0,0.9273021807795035,0.9999999999999999,17.64,18.0
llm,hyperclova_x,claude_sonnet,hyperclova_x,0,Entailment,740,65,0.08783783783783784,50,47,0.94,0.8378290831116182,0.979385029651026,49,47,0.9591836734693877,0.8628696769391992,0.9887343666338142,61.099999999999994,62.3469387755102
llm,hyperclova_x,claude_sonnet,hyperclova_x,1,Neutral,642,83,0.1292834890965732,50,45,0.9,0.7863976856252035,0.9565242350681096,48,45,0.9375,0.8316456194505365,0.9785167670916107,74.7,77.8125
llm,hyperclova_x,claude_sonnet,hyperclova_x,2,Contradiction,687,47,0.06841339155749636,50,45,0.9,0.7863976856252035,0.9565242350681096,49,45,0.9183673469387755,0.808108724034287,0.9677971823322362,42.300000000000004,43.16326530612245
llm,hyperclova_x,gemini,hyperclova_x,0,Entailment,738,51,0.06910569105691057,50,47,0.94,0.8378290831116182,0.979385029651026,49,47,0.9591836734693877,0.8628696769391992,0.9887343666338142,47.94,48.91836734693877
llm,hyperclova_x,gemini,hyperclova_x,1,Neutral,673,44,0.06537890044576523,50,45,0.9,0.7863976856252035,0.9565242350681096,48,45,0.9375,0.8316456194505365,0.9785167670916107,39.6,41.25
llm,hyperclova_x,gemini,hyperclova_x,2,Contradiction,691,42,0.060781476121562955,50,45,0.9,0.7863976856252035,0.9565242350681096,49,45,0.9183673469387755,0.808108724034287,0.9677971823322362,37.800000000000004,38.57142857142857
llm,hyperclova_x,gpt,hyperclova_x,0,Entailment,713,62,0.08695652173913043,50,47,0.94,0.8378290831116182,0.979385029651026,49,47,0.9591836734693877,0.8628696769391992,0.9887343666338142,58.279999999999994,59.46938775510204
llm,hyperclova_x,gpt,hyperclova_x,1,Neutral,664,71,0.10692771084337349,50,45,0.9,0.7863976856252035,0.9565242350681096,48,45,0.9375,0.8316456194505365,0.9785167670916107,63.9,66.5625
llm,hyperclova_x,gpt,hyperclova_x,2,Contradiction,646,70,0.10835913312693499,50,45,0.9,0.7863976856252035,0.9565242350681096,49,45,0.9183673469387755,0.808108724034287,0.9677971823322362,63.0,64.28571428571429
llm,hyperclova_x,hyperclova_x,hyperclova_x,0,Entailment,704,79,0.11221590909090909,50,47,0.94,0.8378290831116182,0.979385029651026,49,47,0.9591836734693877,0.8628696769391992,0.9887343666338142,74.25999999999999,75.77551020408163
llm,hyperclova_x,hyperclova_x,hyperclova_x,1,Neutral,408,90,0.22058823529411764,50,45,0.9,0.7863976856252035,0.9565242350681096,48,45,0.9375,0.8316456194505365,0.9785167670916107,81.0,84.375
llm,hyperclova_x,hyperclova_x,hyperclova_x,2,Contradiction,668,66,0.09880239520958084,50,45,0.9,0.7863976856252035,0.9565242350681096,49,45,0.9183673469387755,0.808108724034287,0.9677971823322362,59.4,60.61224489795919
