id,premise,hypothesis,label,attacked_hypothesis,generator
14,한국방송공사의 스페셜 공연 나훈아 특집은 올해 추석 연휴 기간 동안 선풍적인 인기를 끌었다.,한국방송공사는 매년 스페셜 공연을 방영한다.,1,한국방송공사에서는 해마다 특별 공연을 방송하고 있다.,clova
15,너무완벽한 위치와 모든곳에 접근성이 뛰어났습니다,위치는 좋았지만 접근성이 좋지 않았습니다.,2,접근성은 떨어졌지만 위치는 좋았습니다.,clova
16,"진성은 결혼할 때부터 자신을 탐탁지 않게 여기던 장모에 대해 약간의 공포심이 있어 꺼려지지만, 윤주의 권유로 처가로 들어가게 된다.",진성의 장모는 결혼할 때부터 사위가 탐탁지 않았다.,0,진성의 장모는 혼인 당시부터 그 사위를 마음에 들어 하지 않았다.,clova
17,숙소 자체는 채광도 좋고 사진 그대로 이뻐요.,숙소가 사진보다 안 예뻐요.,2,사진에 비해 숙소는 덜 아름다워요.,clova
18,"3인 이하 가구 기준은 555만원에서 722만원으로, 4인 가구 기준은 622만원에서 809만원으로 상향할 계획이다.",내후년에 3인 이하 가구 기준을 809만원으로 상향할 계획이다.,1,"내년 이후, 3명 미만 가구의 기준선을 809만 원까지 높이려 한다.",clova
19,게리 올드먼의 매력에 빠져드는 계기가 되었다.,게리 올드먼은 매력을 가지고 있다.,0,게리 올드만은 매력적이다.,clova
20,그 탓에 지금도 이게 사실인 줄 아는 사람이 많습니다.,그 때문에 지금도 이게 사실이라 생각하는 사람이 많습니다.,0,그러므로 현재도 많은 사람들이 이를 진실로 여깁니다.,clova
21,트랙전공제는 학과 간 벽을 없애고 학생들이 복수전공을 하게 만든 제도다.,복수전공하는 학생들이 많아졌다.,1,복수 전공을 선택하는 학생들의 수가 증가했다.,clova
22,프라하에 대체적으로 에어컨이 없더라고요.,에어컨이 대체적으로 프라하에 없더라구요.,0,대체로 프라하에는 에어컨이 설치되어 있지 않더군요.,clova
23,아일랜드 포크 음악은 스코틀랜드의 포크 음악과 매우 유사하며 5음 음계를 주로 사용한다.,아일랜드 포크 음악은 스코틀랜드의 것과 음계가 유사하다.,0,아일랜드 민속 음악이 지닌 계조 체계는 스코틀랜드 음악과 닮았다.,clova
24,인간의 적응력을 여실히 보여주는 영화,인간의 적응력을 볼 수 없는 영화이다.,2,인간의 적응 능력을 확인할 길이 없는 작품이다.,clova
25,숙소에는 대부분 있을 건 다 있습니다.,숙소엔 대부분 다 있습니다.,0,대부분 모든 것이 숙소에 구비되어 있습니다.,clova
26,어느 날 왓슨이 홈즈의 하숙집에 놀러 왔다.,홈즈는 하숙을 하고 있지 않다.,2,홈즈가 하숙하는 일은 없다.,clova
27,지난9일스웨덴 왕립과학원 노벨위원회는 노벨경제학상수상자를 세일러 교수라고 발표하였다.,노벨위원회는 노벨경제학상수상자를 발표했다.,0,노벨위원회가 경제학 분야의 노벨상 수상자를 공표했다.,clova
28,위치는 역시 지도에서 보던대로 최고였어요.,위치는 지도에서 본 것과는 달리 최악이었어요.,2,지도상에서 봤던 것과 다르게 장소가 매우 좋지 않았습니다.,clova
29,2박3일동안 즐거운 추억 많이 만들고 갑니다.,2박 3일 동안 즐겁게 잘 있다 갑니다.,0,이틀 밤 세 날 간 행복하게 머물다 떠납니다.,clova
30,광산구자원봉사센터는 지난 30일 설 명절을 이틀 앞두고 도산동행정복지센터 회의실에서 갓 담은 맛깔스런 김치 100박스를 지역의 어려운 이웃에 전달했다.,광산구자원봉사센터는 설 당일에는 떡국을 지역의 어려운 이웃에게 제공하는 행사를 할 예정이다.,1,광산구 자원봉사 센터는 설날 당일에 지역 내 취약계층에게 떡국 나눔 행사를 진행할 계획이다.,clova
31,다른 사람들의 생을 송두리째 뺐을 수 있는 무고는 절대로 사회에서 있어도 안되는 것이다.,무고는 사회에서 없어져야 한다.,0,무고는 반드시 근절되어야 할 사회적 문제이다.,clova
32,"세월호 특별법때문에 막힌 정국을 풀기 위한 회의조차 파행으로 끝났고, 광화문에서는 아직도 유가족들이 농성하고 있습니다.",세월호 유가족들은 농성을 끝냈습니다.,2,세월호 가족들이 농성을 종료하였습니다.,clova
33,그룹 방탄소년단이 국내 첫 컴백 무대를 위해 스튜디오를 빌려 사전 녹화를 진행한 것으로 알려졌다.,방탄소년단은 국내에서만 활동했다.,2,방탄소년단은 오직 국내에서만의 활동을 했다.,clova
34,"이는 유럽의 대다수 나라들과 아프리카의 나라들, 중국, 일본이 포함된 수치로 추정된다.",이는 독일과 스웨덴도 포함된 수치로 추정된다.,1,이 수치는 독일과 스웨덴까지 합쳐진 것으로 보인다.,clova
35,"다만, 보험료 전액을 자신이 부담해야 하는 지역가입자의 반발 등을 고려해 직장가입자에게 먼저 적용하는 게 필요하다고 연금행동은 강조했다.",지역가입자는 종합건강보험에 한해서 보험료 전액을 부담한다.,1,지역가입자가 내는 것은 오직 종합 건강보험에 대한 전체 보험료뿐이다.,clova
36,강도를 만났던 목격자들은 매니가 그 강도라고 증언을 하고 매니는 체포된다.,강도를 만났던 목격자들은 함구했다.,2,강도 사건에 대한 증언을 할 수 있는 목격자들이 입을 다물었다.,clova
37,친절한 안내와 웰컴티는 특히 인상적이었습니다.,안내는 친절하지 않았습니다.,2,안내가 친절함을 갖추지 못했습니다.,clova
38,줄 서 있던 시민들과 사진 촬영을 하던 백종원 씨는 대기줄에서 낯익은 얼굴을 발견했다.,백종원 씨는 시민들과 사진을 찍지 않았다.,2,백종원 씨는 시민들과의 사진 촬영에 응하지 않았다.,clova
39,반전을 기달리기엔 몰입도가 너무 떨어진다,반전이 있다.,1,예상치 못한 변화가 존재한다.,clova
40,그녀의 집은 말할 것도 없이 좋았습니다.,그녀의 집은 말할 것도 없이 별로였습니다.,2,그녀가 사는 집이 형편없었다는 건 두말하면 잔소리죠.,clova
41,올해의 걸작이라는 소리에 그만 낚인 거 같다.,올해의 걸작이라는 소리는 걸맞는 것 같다.,2,올해의 명작이라는 평가는 적절한 듯하다.,clova
42,와이파이만 잘된다면 정말 최고의 에어비앤비입니다.,와이파이가 잘 되지 않습니다.,0,와이파이 신호가 원활하게 잡히지 않습니다.,clova
43,정말 마지막회 때 아쉬워서 눈물 흘렸습니다.,마지막회를 할 때 울었습니다.,0,마지막 회를 시청하며 눈물을 흘렸습니다.,clova
44,내 생애 처음으로 눈물 흘리게 만든 영화,처음으로 영화를 보고 눈물을 흘렸다.,0,영화를 처음 관람하며 눈물이 났다.,clova
45,그는 경찰수사를 받던중 지난해 12월 지인과 연락을 끊은 채 연고가 없는 광주광역시 북구 중흥동으로 주소를 옮긴 것으로 추정된다.,그는 지난 해 12월에 지인과는 계속 연락 중이었다.,2,그는 작년 12월에도 여전히 지인과 연락을 이어오고 있었다.,clova
46,"예수는 본인이 직접 어떠한 글도 남기지 않았으며, 사도 시대 그리스도론에 대한 여러 가지 연구는 초기 기독교 문헌에 기반을 두고 있다.",사도 시대 그리스도론에 대한 연구는 예수가 남긴 기록을 기반으로 한다.,2,그리스도론 연구가 예수께서 남기신 자료를 토대로 이루어진다.,clova
47,침대는 킹사이즈로 두명이 사용해도 넉넉합니다.,무조건 두명이 사용해야합니다.,2,반드시 둘이서 써야 합니다.,clova
48,일본 정부가 지난 27일 폭발한 규슈 지역의 신모에다케 화산 인근 주민들에게 피난 권고를 내린 것으로 알려졌다.,신속한 피난 권고로 인해 화산 폭발로 인한 사상사는 발생하지 않은 것으로 알려졌다.,1,"화산 분출에 따른 인명 피해는 일어나지 않았다고 하며, 이는 빠른 대피를 권했기 때문이다.",clova
49,"노래, 춤 연습은 물론 몸매관리까지 해야 한다.",몸매 관리를 위해 운동을 한다.,1,운동을 통해 체형을 관리한다.,clova
50,"이를 통해 산림서비스도우미 3명, 산림병해충예찰단 2명의 총 5명을 선발해 상시적이고 효과적인 산림보호에 나선다는 계획이다.",총 10명을 선발할 계획이다.,2,총 열 명을 뽑을 예정이다.,clova
51,"또한 그늘막 설치, 도로 물뿌리기, 경로당 월 10만원 냉방비 지원 및 냉방시설 점검 등 폭염방지사업을 실시해 시민들에게 큰 호응을 얻고 있다.",폭염방지사업에 포함되는 서비스는 냉방비 지원 및 냉방시설 점검 뿐이다.,2,폭염 방지 사업에는 오직 냉방비와 시설 점검이 포함된 서비스만이 해당된다.,clova
52,다만 수압이 조금 약한 것이 흠이었습니다.,단점은 수압 약한 것 뿐이었습니다.,1,단점이라곤 그저 수압이 약하다는 점뿐이었습니다.,clova
53,전남 보성에서 30년 넘게 농사를 지어온 백씨는 농민 120여명과 함께 대통령의 공약인 쌀값 21만원을 보장하라고 정부에 요구하기 위해 민중총궐기에 참여하였다.,전남 보성에서 민중총궐기가 일어났다.,1,전라남도 보성군에서 대중 집회가 발발하였다.,clova
54,"적용시기는 성장관리방안 수립기간을 고려, 3년 이상의 유예기간을 두기로 했다.",적용 시기에 3년 이상의 유예기간을 두기로 했다.,0,적용 시기를 미루며 그 전까지 최소 3년의 유예기간을 두기로 결정했다.,clova
55,인천국제공항과 서울역를 잇는 철도 노선인 인천국제공항철도의 2단계 구간이 어제인 29일 개통되었다.,29일 개통된 철도 노선은 인천국제공항철도밖에 없다.,1,"인천국제공항철도를 제외한 나머지 철도 노선의 개통은 아직 이뤄지지 않았다며, 이는 29일에 개통된 유일한 철도임을 강조한다.",clova
56,실제 숙소는 훨씬 아름답고 깨끗한 숙소거든요.,더럽지는 않은 숙소거든요.,0,숙소가 깨끗한 편이에요.,clova
57,호스트도 친절하고 집도 진짜 깔끔해요.,집의 청결도가 나쁘지 않아요.,0,집이 더럽지는 않습니다.,clova
58,"김염은 일제강점기 시절, 독립운동의 근거지 만주 치치하얼에서 1위안을 손에 들고 홀로 중국 상하이로 떠난다.",김염은 상하이로 떠나 한국에 돌아오지 않는다.,1,김염은 상하이에서 한국으로 귀환하지 않는다.,clova
59,내생의 최악의영화 이것이 영화관에서 상영했다는것 자체가 놀라운일이다,영화를 본 시간이 아까울 만큼 내 생의 최악의 영화이다.,1,"내 인생에서 가장 실망스러운 작품으로, 관람 시간이 아깝다는 생각이 들 정도다.",clova
60,볼보자동차가 2014 제네바모터쇼에서 선보였던 에스테이트 컨셉트카의 양산이 확정됐다.,볼보자동차는 제네바모터쇼에서 1위를 차지했다.,1,Error,clova
61,농촌진흥청은 이러한 성과가 지속가능한 농업환경 조성과 군민들의 소득향상으로 이어졌다고 판단하고 곡성군을 최우수상으로 결정했다.,농촌진흥청은 곡성군에 어떠한 상도 주지 않기로 결정했다.,2,곡성군에는 농촌진흥청이 상을 수여하지 않기로 했다.,clova
62,이와 함께 국가 전략 자산 확보를 위해 2022년부터 누리호 후속사업을 착수할 계획이다.,누리호 후속사업을 2030년부터 착수할 예정이다.,2,누리호의 후속 사업은 2030년을 기점으로 시작될 계획이다.,clova
63,"이희호 여사도 화재 피해 상인들의 조속한 재기를 바라며, 성금 500만원을 기탁했고, 전국 각지 지자체 및 기업, 시민의 성금기탁 문의도 이어지고 있다.",이희호 여사는 성금 대신 봉사로 화재 피해 상인들을 도왔다.,2,화재 피해를 입은 상인들을 위해 이희호 여사는 금전적 기부 대신 봉사활동을 하며 지원했다.,clova
64,외국에서는 재외교포들이 가장 많이 반응합니다.,외국에서 가장 많이 반응하는 것은 재외교포들입니다.,0,해외에서 가장 큰 반응을 보이는 주체는 교민들입니다.,clova
65,"도는 이 같은 기준을 사회복무요원이 근무 중인 도청 각 부서, 시군, 도내 사회복지시설 등에 안내할 계획이다.",도내 사회복지시설에 가장 많은 사회복무요원이 근무 중이다.,1,도내 사회복지시설에서 일하는 사회복무요원의 수가 가장 많다.,clova
66,또 샤워실이 3개이긴한데 물이 잘안내려갑니다.,샤워실은 하나지만 물이 잘 내려갑니다.,2,샤워실은 비록 단 하나이지만 배수가 원활하게 이루어집니다.,clova
67,"운임인상에 대한 결정권은 서울시로 이전되었으며, 예상운임 수입에 못 미칠 경우 최소 수익을 보장해 줬었지만 앞으로는 부족한 부분만 비용으로 지원해 준다.",운임인상에 대한 결정권은 정부기관에서 서울시로 이전되었다.,1,서울시가 정부 기관으로부터 운임 인상 관련 결정권을 이관 받았다.,clova
68,칠던은 바이네스라는 스웨덴 기업가에게 줄 방문 선물을 찾는 일본 무역대표부 소속 고위관료 다고미 노부스케로부터 온 전화를 받는다.,다고미 노부스케는 일본 후생노동성 소속 고위관료이다.,2,다고미 노부스케라는 인물은 일본의 후생노동성에 속한 고위급 관직에 있는 사람이다.,clova
69,이 대작을 능가할 수 있는 영화는 없다.,이 작품을 능가하는 영화는 많다.,2,이 영화보다 더 뛰어난 작품들이 많이 존재한다.,clova
70,전화만 계속 울려대는 정말 최악의 스릴러 영화.,이유도 없이 계속 울려대는 전화.,1,계속해서 울리는데 이유가 없는 전화 소리.,clova
71,현대차와 울산시는 이번 협약을 통해 발전용 연료전지 실증 사업 등 수소 산업을 육성하기 위한 다방면의 노력을 함께 이어가기로 약속했다.,현대차와 울산시는 수소 산업을 발전시키기 위해 협약을 맺었다.,0,현대자동차와 울산광역시 간에는 수소산업 육성을 목표로 협약이 체결되었다.,clova
72,"청송 읍내를 거쳐 바로 주왕산 쪽으로 핸들을 돌리면 한쪽으로는 벼, 반대쪽에는 사과가 심어진 길을 죽 달리게 된다.",주왕산은 청송 읍내를 지나서 갈 수 있다.,0,주왕산에 가기 위해서는 청송 읍내를 경유해야 한다.,clova
73,곰팡이 연구소의 연구원인 지태는 처리해야 할 슈퍼 곰팡이 샘플을 잃어버린다.,슈퍼 곰팡이 샘플은 처리되어야 했다.,0,슈퍼 균류 표본은 다루어져야만 했었다.,clova
74,"정부는 1인가구가 두려움 없이 안심하고 생활할 수 있도록 치안, 방범 등 안전 분야 정책대응을 강화할 방침이다.",정부는 1인가구를 위한 안전 분야 정책대응을 강화할 방침이다.,0,정부는 독거 가구의 안전을 위해 정책 대응의 강화를 계획하고 있다.,clova
75,한국영화발전에 암적인 존재밖에 안되겠네요.,암적인 존재는 없애야겠네요.,1,암 같은 존재라면 제거해야겠습니다.,clova
76,특히나 화장실이 정말 너무 좋았습니다.,화장실이 마음에 들었습니다.,0,화장실이 아주 흡족했습니다.,clova
77,여배우 두분의 절실한 호흡이 돋보이는 영화였습니다.,여배우 두 분이 주인공인 영화.,1,주인공이 두 명의 여배우로 이루어진 영화.,clova
78,"일본이 유네스코에 등재하기 위해 어떻게 준비하고, 그 이후 군함도 주변을 어떻게 변화시켰는지 모두 봤습니다.",일본은 군함도 주변만 변화시켰습니다.,1,일본은 군함도의 주변부만을 개조하였습니다.,clova
79,주요 관광지로는 메트로나 버스 이용해야 합니다.,메트로로 관광지에 갈 수 없습니다.,2,관광지로 향하는 경로에는 메트로가 포함되지 않습니다.,clova
80,주변에 슈퍼와 야채가게가 많아 편리해요.,주변에 백화점이 없어 불편해요.,1,주변에 백화점이라는 시설이 없어서 힘듭니다.,clova
81,"이 밖에도 벚꽃과 앵도나무 꽃, 자두나무 꽃, 옥매 등을 구별하는 방법도 담겼다.",구별하는 방법이 담겼음에도 불구하고 일반인은 구별하기 어렵다.,1,일반인이 구분하기는 어려운데도 그 방법에 대한 내용이 담겨 있다.,clova
82,"우리가 목표를 세우고 역량을 결집하면, 의존형 경제에서 벗어날 수 있다는 자신감을 갖게 된 것은 무엇과도 바꿀 수 없는 소중한 경험입니다.",우리가 노력해도 의존형 경제에서 벗어날 수 없다는 현실을 깨닫게 되었습니다.,2,우리가 아무리 애써도 의존적 경제체제에서 벗어나오기가 어렵다는 사실을 인지하게 되었습니다.,clova
83,심장을 중심으로 빛이 뻗어나가는 형상은 예수의 성심을 표현할 때도 나타난다는 것이었다.,어떤 형상은 종교적인 것을 표현할 때도 나타난다는 것이다.,0,종교적 내용을 나타낼 때에도 특정한 형상이 보인다는 뜻이다.,clova
84,"윤일병 사건이 벌어진 28사단, 임병장 사건이 벌어진 22사단의 사단장이 경징계를 받았습니다.",윤일병 사건은 4년 전에 벌어졌다.,1,윤 일병 사건의 발생 시점은 지금으로부터 4년 전이다.,clova
85,나날이 끔찍한 악몽에 시달리던 구 웨이방 감독은 갑작스레 무너진 조명 장치에 치명적인 부상까지 입게 된다.,구 웨이방 감독은 끔찍한 악몽에 시달렸다.,0,구 웨이방 감독에게 있어 끔찍한 악몽은 계속 반복되었다.,clova
86,"1982년, 나사는 외계와의 접촉을 희망하며 지구의 문화를 담은 타임캡슐을 우주로 쏘아 올렸다.",나사가 쏘아 올린 타임갭슐에는 지구의 문화가 담겨있다.,0,지구 문화를 담은 타임캡슐이 나사에 의해 발사되었다.,clova
87,내용을 한번에 이해하기는 조금 어려운 영화,영화의 내용을 한번에 이해하기는 조금 어려움.,0,영화를 단번에 이해하기란 다소 힘듦.,clova
88,미국 국방부는 어떤 국제 범죄 조직에 의해서 일급 기밀 컴퓨터 칩을 도난당한다.,미국 국방부의 기밀 컴퓨터 칩은 제자리는 벗어나지 않는다.,2,미국 국방부 소유의 기밀 컴퓨터 칩이 원래 자리에서 이탈하지 않습니다.,clova
89,자세한 내용은 여수시 행복교육지원센터에 문의하면 된다.,여수시 행복교육지원센터에서는 간략한 내용만 제공한다.,2,여수시의 행복교육지원센터에서 제공하는 내용은 간단한 부분뿐이다.,clova
90,조사기간은 1월 14일부터 2월 28일까지 이며 농산물 가공을 희망하는 시민은 수요조사서를 작성하여 농업지원과로 방문 또는 팩스로 제출하면 된다.,작성된 수요조사서는 농업지원과로 팩스로만 제출 가능하다.,2,수요조사서 작성이 완료되면 오직 팩스를 통해서만 농업지원과에 내야 한다.,clova
91,유럽에서 에어비앤비는 처음이었는데 청결면에서는 조금 떨어져요.,청결면에서 불만족스러운 점이 있었어요.,0,청결에 대해 만족스럽지 못한 부분이 있었습니다.,clova
92,어이 없을 정도로 빤히 들여다 보이는 스토리에 그저 놀라울 뿐.,속이 빤히 들여다 보이는 스토리는 흥미롭지 않을 뿐.,0,뻔히 알 수 있는 줄거리는 재미가 없다.,clova
93,이 중 성적 상위 20명이 올해 실시되는 캐나다 해외연수에 참여하는 영예를 안았다.,가장 성적이 좋은 20명은 캐나다로 해외연수를 갈 수 있다.,0,캐나다로의 해외연수 기회가 주어지는 것은 바로 성적 우수자 상위 20명이다.,clova
94,"따라서, 여러 각국은 오토바이 탑승자와 동승자가 헬멧을 필수적으로 착용해야 하는 의무를 법적으로 규정하고 있다.",오토바이 탑승시 헬멧 착용은 법으로 규정하고 있다.,0,법률상 오토바이에 타면 헬멧을 써야 한다.,clova
95,벅찬 무게를 짊어진 강하고도 안타까운 인력거 꾼의 삶을 편집해야만 한 아쉬운 영화,벅찬 무게를 짊어진 약하고 안타까운 인력거꾼의 삶을 무편집으로 내보낸 영화.,2,약하며 가엾은 인력거꾼이 힘겹게 살아가는 모습을 그대로 담아낸 영화가 편집 없이 공개되었다.,clova
96,여지껏 본 드라마중 선남선녀 남주여주가 한번도 러브라인 안그린 유일한 드라마매회 반전과 소름이 난무하는 탄탄한 스토리이연희의 연기 빼고 완벽한 드라마,지금까지 본 드라마 중 가장 선남선녀의 주인공들이 있는 드라마.,1,지금까지 시청한 작품들 중에서 외모가 가장 뛰어난 남녀 주인공이 등장하는 드라마.,clova
97,"11월 11일, 전효성의 정보로 추정되는 대학교 등록 정보와 관련된 문서가 공개되었으며, 문서에 따르면 이 여성의 이름이 전효성이다.",전효성의 정보로 추정되는 관련 정보는 없었다.,2,전효성에 대한 것으로 생각되는 관련 정보가 존재하지 않았다.,clova
98,화순군은 매년 10월 국화축제 때 화순국화를 광주 북구 본촌동에 위치한 호남권역재활병원으로 보내 작은 축제가 열리고 있다.,매년 10월에 화순군에서 국화축제가 열린다.,0,매년 10월이면 화순군에서는 국화를 주제로 축제를 개최한다.,clova
99,참샘스쿨의 사례를 통해 교사 개인의 콘텐츠가 확대 재생산됨으로써 수업의 질을 높이고 수업문화의 변화를 이끌어 낸 과정에 대해 강의가 이뤄졌다.,강의 내용은 참샘스쿨의 사례를 통해 교사 개인의 콘텐츠가 확대 재생산됨으로써 수업의 질을 높이고 수업문화의 변화를 이끌어 낸 과정에 대한 것이었다.,0,교사 개개인의 콘텐츠 확장과 재생산을 통한 수업 질 개선 및 수업 문화 변화 과정을 참샘학교 사례로 알아보는 내용이었다.,clova
100,"화재피해 기업과 사회적경제기업 등 지원범위를 확대하고, 주요 정책의 원활한 추진을 위한 상벌조항을 정비한 것이 골자다.",상벌조항을 정비한 것은 주요 정책을 원할히 실행하기 위함이다.,0,주요 정책의 원활한 시행을 위해 상벌 조항이 개선되었다.,clova
101,생각했던거랑 달리 엄청 좋은 숙소였습니다.,숙소에 대해 하나도 기대를 하지 않았습니다.,1,숙소에 대한 기대감이 전혀 없었습니다.,clova
102,바이든이 자신의 대통령 당선을 위해 우크라이나로 파병을 나간 아들을 내세웠다는 주장도 하였다.,바이든은 아들을 내세워 대통령에 당선되었다.,1,바이든이 자신의 아들을 앞세워 대통령이 되었다.,clova
103,걱정했던 바와는 달리 셀프체크인이 쉬웠습니다.,걱정따윈 없었습니다.,2,걱정은 전혀 존재하지 않았습니다.,clova
104,이를 통해 대학 등 학교에서 직무데이터사전을 활용해 직업진로지도에 이용하거나 기업에서 인공지능에 기반한 다양한 형태의 고용서비스를 제공할 수 있도록 지원한다.,기업이 인공지능을 활용한 고용서비스를 제공할 수 있도록 지원한다.,0,인공지능 기술을 도입하여 기업이 제공하는 고용 서비스에 대한 지원을 진행한다.,clova
105,전망 청결도 무엇보다 인테리어가 너무 맘에들어요,만족스러운 인테리어에요.,0,인테리어가 마음에 쏙 드네요.,clova
106,"조지 플로이드 사망 사건을 계기로 미국에서 인종차별을 멈추라는 목소리가 나오고 있지만, 아시아인에 대한 차별은 진행중이다.",미국에서 인종차별금지 소리가 나오게 된 계기는 조지 플로이드 사망이다.,0,조지 플로이드의 죽음이 미국 내 인종차별 금지를 외치게 만든 발단이 되었다.,clova
107,월드 이스포츠 챌린지 2019는 관련 산업 저변확대를 위한 국제 아마추어대회로지자체 차원에서 국제 아마추어 이스포츠 대회를 여는 것은 경기도가 처음이다.,경기도의 이스포츠 대회는 국제 아마추어 대회이다.,0,경기도에서 열리는 이스포츠 경연은 국제적인 아마추어 대회다.,clova
108,"현재 안견이 그렸다고 추정되는 작품은 다수 있는 편이나, 그가 그렸다고 확인된 작품으로는 몽유도원도가 유일하다.",몽유도원도도 안견이 그렸다고 추정되는 작품이다.,2,안견 작으로 여겨지는 것이 바로 몽유도원도다.,clova
109,그러나 의거는 실패하고 도리어 염석진은 총을 맞아 손가락을 잘리게 된다.,염석진은 손가락이 잘린다.,0,염석진의 손끝이 절단되었다.,clova
110,"신임 사장의 임용기간은 3년이며, 임기 만료 후 1년 단위로 연임이 가능하다.",신임 시장의 임기는 3년이다.,0,새로운 시장은 세 년 동안 그 직책을 맡는다.,clova
111,이 같은 기본단위 재정의는 과학기술과 산업의 근간이 되는 단위에 시간의 경과 등으로 인해 미세 오차가 발생하는 것을 원천 차단한다는 의미가 있다.,기본단위를 재정의 하는 것은 미세한 오차를 줄이는 데에 의의를 가진다.,0,기본 단위의 재정립은 미세한 오차 감소를 목적으로 한다.,clova
112,첫 파리여행에서 정말 좋은숙소를 만났습니다,첫 파리여행에서는 좋은 숙소를 만나지 못했습니다.,2,처음 방문한 파리 여행에서 만족스러운 숙박 시설을 찾지 못하였습니다.,clova
113,지역의 실정과 정책 수요 등을 반영한 노인복지종합계획 수립도 추진해 고령 친화도시 조성과 연계한다.,노인복지종합계획은 지역의 실정과 정책 수요 등을 반영한다.,0,지역 실정과 정책 수요를 고려하여 수립하는 것이 노인복지종합계획이다.,clova
114,개방되는 부지의 시설 안내도 및 이용수칙 등 자세한 사항은 용산공원 홈페이지 등을 통해 확인할 수 있다.,개방되는 부지의 자세한 사항은 용산공원 누리집 뿐만 아니라 한라산 공원 누리집을 통해서도 확인 가능하다.,1,용산 또는 한라산 공원 관련 사이트에서 해당 부지에 관한 상세한 정보를 체크할 수 있다.,clova
115,레이드1도 작살나는데 2는 진짜 액션의 결정체 액션씬은 내가 본 영화중 최고다,레이드1은 작살나는데 2는 실망스러운 액션 뿐이었다.,2,"레이드1은 매우 훌륭했으나, 2는 그저 실망감만을 안겨준 액션이었다.",clova
116,"침실, 거실, 욕실 다 만족스럽습니다.","침실, 거실, 욕실만 만족스럽습니다.",1,침실과 거실 그리고 욕실만이 마음에 듭니다.,clova
117,"이 세 사람은 한 유흥업소에서 일하며 알고 지내게 되었고, 그 과정에서 최씨와 박씨는 연인관계로 발전했다.",이 세 사람이 한 유흥업소에서 일한 기간은 같다.,1,이 세 사람은 같은 기간 동안 해당 유흥업소에서 근무하였다.,clova
118,무엇보다 산이 아름다워서 기억에 남았다.,산 때문에 기억에 남았다.,0,산이 인상 깊게 각인되었다.,clova
119,그런데 우반이나 에스반 역에서 조금 멀리 있어요,우반역이 더 멀리 있어요.,1,우반역은 더 먼 곳에 자리 잡고 있습니다.,clova
